Instancia,Clase,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23
30,2,0.0006310870085970959,0.0016122960529869918,0.0021764690076776687,0.0015155107491317057,0.0014803238372115214,0.0006445259751600076,0.007372347832255114,0.004348247540180386,0.0001857466986087344,0.0004485064586707457,0.0004293137740844271,0.0007171114283489689,0.0006315800620867711,0.0002470537132229963,0.0006182902174668471,0.00048213825513615353,563.0,574.0,571.0,571.0,573.0,569.0,579.0,581.0
31,3,0.0014604983962129287,0.002723559232333973,0.002883466535472193,0.0015206481945345396,0.0034313574096985397,0.002526208998951548,0.008968976065610052,0.0069022976350705005,0.0002014189503336465,0.0006528442907973953,0.0006303959821910097,0.0011260643011501844,0.0009790396082794994,0.0003340436326315475,0.0006630351169534282,0.0005517063126272324,568.0,588.0,580.0,578.0,584.0,582.0,575.0,571.0
32,2,0.0005304594456407603,0.0007948692053756578,0.0011534568924736334,0.006362315855624689,0.0017956435641958211,0.0009843767370494483,0.0007249049813852723,0.002273163965714265,0.0002489981155291299,0.00043744196741295064,0.0006547957027240933,0.0013626254992928017,0.000765723636998641,0.00030670563698165855,0.00036039059384637077,0.0006890421234161305,576.0,574.0,582.0,581.0,577.0,576.0,564.0,586.0
33,3,0.00026680185450795864,0.006023390601113525,0.0056166202706438625,0.006679017789120767,0.0015691995850295815,0.000733824047300316,0.0015879381310811038,0.0026983976198130355,0.00020250281763736015,0.0007049123062493846,0.0008556092531448977,0.0010295603915301845,0.0010117918306387207,0.0003862231469461432,0.000400495406380296,0.00048606931400931985,567.0,578.0,580.0,572.0,562.0,576.0,570.0,578.0
34,2,0.000848028531867373,0.001034093116467691,0.0011546866545857038,0.0038763167256737124,0.0011037807269405288,0.000630240585756867,0.0012973708363693858,0.0007179730707160011,0.0002771612832287178,0.0005597514517752355,0.0005735950502541401,0.0011751233658984245,0.0005407618579759347,0.0002817762282703377,0.0004449189864621561,0.0003890370076564992,581.0,580.0,574.0,583.0,584.0,572.0,574.0,572.0
35,3,0.0006817908011894309,0.0015907978953241344,0.003158092970214139,0.0010886255446397337,0.0015028758262774038,0.0015413877295769485,0.00253046927101764,0.0008790670066858803,0.00020160128170725823,0.0006702424374478246,0.0006563340909333336,0.0008295690844442086,0.0011170564780087135,0.0004071065416078741,0.0004126774458605195,0.0003246439215732582,570.0,578.0,574.0,572.0,570.0,568.0,578.0,564.0
36,2,0.0003602819152735879,0.004726696531704221,0.0025877497618989605,0.004039235267648434,0.009256824185963075,0.0057382531910108526,0.0013331474306714694,0.000830670295014507,0.00021233364586280076,0.0006543091303229056,0.0007196289968637341,0.0012442210530253714,0.0013350455688158982,0.0005659085361081824,0.00046161699461969653,0.0003816793778136722,570.0,580.0,572.0,572.0,588.0,574.0,584.0,569.0
37,3,0.0016139382921729667,0.0011227733015364081,0.0010639087725179883,0.005855922679366673,0.002013012255248106,0.0007150306095799389,0.0028379088845926874,0.002156065074352751,0.00034986982728833906,0.0007113293708195967,0.0007043812403253058,0.001166475156588656,0.001212941177745245,0.0004699453728120498,0.0006820594864013747,0.0008191661242155642,580.0,570.0,582.0,571.0,573.0,578.0,584.0,570.0
38,2,0.007750265180150374,0.0026727937851004258,0.00316975941417534,0.0013119202307233103,0.004189351256406548,0.0011536007932462548,0.0026502352653731114,0.004656188041376313,0.0006485361965467353,0.0006472626208811189,0.0007246675251716786,0.0009582926901005611,0.0008172061130847411,0.00038019464533950204,0.0007457118618095791,0.0014114825441588895,575.0,569.0,575.0,558.0,570.0,582.0,572.0,576.0
39,3,0.0025453758798782223,0.001433333448148061,0.0033952247770805436,0.0028375664877337225,0.002292882379710552,0.001258046324265198,0.004648632944233481,0.0047011799152824095,0.00048509982433068624,0.0007870440627176263,0.0010859028210349246,0.0015077805168100806,0.0014536705432753975,0.0006679473288538005,0.0008420487589839687,0.001266127315652835,604.0,610.0,609.0,602.0,601.0,617.0,596.0,607.0
